date,inflation,unemployment
1984-09-01,3.513066428803483,5.6
1984-10-01,3.5063194786591363,5.5
1984-11-01,3.1014098064198965,5.4
1984-12-01,3.687229127439361,5.5
1985-01-01,4.068802182212742,5.5
1985-02-01,3.6668663039490337,5.4
1985-03-01,3.6599666271583544,5.3
1985-04-01,3.844503299157283,5.5
1985-05-01,3.8373022996156814,5.2
1985-06-01,3.041109201481625,5.8
1985-07-01,2.450169191090345,5.5
1985-08-01,2.8270597255536334,5.4
1985-09-01,3.3947423613456884,5.3
1985-10-01,3.7672801797599167,5.2
1985-11-01,4.136808394472864,5.1
1985-12-01,3.4012431695832412,5.1
1986-01-01,1.9651482778186617,4.9
1986-02-01,0.4911791604173222,5.4
1986-03-01,0.10623174498820671,5.4
1986-04-01,-0.08576201193671373,5.3
1986-05-01,-0.6474771720579038,5.5
1986-06-01,-0.10356229241629518,5.4
1986-07-01,1.7027747862037768,5.5
1986-08-01,2.7887346712940757,5.1
1986-09-01,2.594922090647877,5.4
1986-10-01,2.585234611789884,5.4
1986-11-01,3.517375634139988,5.3
1986-12-01,4.06629315708672,5.3
1987-01-01,4.051348263141807,5.2
1987-02-01,4.597491517126476,5.1
1987-03-01,4.771120854569602,5.1
1987-04-01,4.9386802196032935,4.9
1987-05-01,4.3591894123214034,4.8
1987-06-01,4.5269867909466734,4.9
1987-07-01,4.510715676407487,4.7
1987-08-01,4.127972341121965,4.6
1987-09-01,4.296837226005533,4.4
1987-10-01,3.739967727362709,4.6
1987-11-01,3.9089452188064175,4.4
1987-12-01,3.3567780735679555,4.3
1988-01-01,3.1669821301326593,4.4
1988-02-01,3.87852374056958,4.2
1988-03-01,3.6886225939213007,4.2
1988-04-01,4.209946574325129,3.9
1988-05-01,4.372070947568954,4.2
1988-06-01,4.887698263854056,4.0
1988-07-01,5.223981908575392,4.0
1988-08-01,4.663664859812773,4.3
1988-09-01,4.8240526661644125,4.1
1988-10-01,4.630086364074248,4.1
1988-11-01,4.6102368984213085,4.2
1988-12-01,4.418673408697896,4.1
1989-01-01,4.572711760224131,4.0
1989-02-01,5.424944049361053,3.8
1989-03-01,5.746720448820945,3.6
1989-04-01,5.7277719816347465,3.9
1989-05-01,5.536325180872836,3.7
1989-06-01,4.8641449856094745,3.8
1989-07-01,4.338442681201223,3.8
1989-08-01,3.7916667111703934,3.8
1989-09-01,3.605458429114209,4.2
1989-10-01,3.593752507570457,3.9
1989-11-01,4.940309946014906,4.0
1989-12-01,5.741763337156384,4.0
1990-01-01,6.215448642207794,4.0
1990-02-01,5.700668994968712,3.9
1990-03-01,5.198478400192529,4.0
1990-04-01,5.834305249493717,4.2
1990-05-01,4.779175425154014,4.1
1990-06-01,5.743938977836582,4.1
1990-07-01,6.202307303921631,4.2
